norm, level, Npoints, dimSplit, MainGridIndexSplit
3872.07020945324, 0, 962, -1, -1, -1
72.5922202004163, 2, 244, 0, 13, 0.170454545454545
63.7043881500134, 1, 63, 4, 99, 0.6623678444522
50.8527546255193, 3, 120, 2, 3, 0.363636363636364
50.0258254562963, 3, 124, 2, 3, 0.363636363636364
44.3061835638349, 2, 655, 0, 13, 0.170454545454545
36.0337702960516, 4, 29, 1, 18, 0.475225225225225
29.7896482967173, 3, 160, 4, 81, 0.26159379994883
29.3119167435999, 3, 19, 0, 9, 0.0618686868686869
27.9077606824411, 4, 221, 2, 3, 0.363636363636364
27.2401615270964, 3, 22, 0, 9, 0.0618686868686869
26.1199022572851, 6, 73, 0, 9, 0.0618686868686869
25.1948476112002, 5, 45, 4, 12, 0.0115508595340253
25.0637382009648, 4, 274, 2, 3, 0.363636363636364
24.919485817512, 5, 46, 4, 12, 0.0115508595340253
23.0711974867649, 5, 12, 4, 83, 0.284343083536879
20.4699130170826, 4, 51, 0, 9, 0.0618686868686869
20.3668437589682, 6, 18, 0, 17, 0.444444444444444
20.3417357603542, 4, 91, 1, 18, 0.475225225225225
20.2029696969698, 3, 9, 0, 10, 0.0808080808080808
20.1963333333333, 7, 4, 0, 10, 0.0808080808080808
20.0273808510038, 7, 27, 0, 6, 0.026010101010101
19.8814339604713, 6, 126, 0, 9, 0.0618686868686869
19.7312988252124, 8, 14, 1, 9, 0.227477477477477
19.2837754102992, 7, 7, 4, 59, 0.0828015312645006
18.2446170236718, 5, 75, 3, 3, 0.800505050505051
18.0526450260417, 5, 17, 4, 61, 0.084023548930301
17.9800525067972, 4, 53, 0, 15, 0.275252525252525
17.748485857235, 2, 22, 3, 3, 0.800505050505051
17.2517641347937, 7, 26, 0, 5, 0.0184343434343434
16.936464951578, 3, 495, 4, 81, 0.26159379994883
16.8639683220486, 1, 899, 4, 99, 0.6623678444522
16.8098868828621, 3, 13, 0, 10, 0.0808080808080808
16.6294582934867, 6, 27, 0, 17, 0.444444444444444
16.6113928556713, 5, 15, 4, 26, 0.0338774705003143
15.5961883954378, 5, 22, 2, 1, 0.0454545454545454
15.5345871588008, 4, 71, 0, 15, 0.275252525252525
15.1968755012944, 6, 34, 3, 3, 0.800505050505051
15.1389309976102, 8, 11, 4, 93, 0.471038215796977
15.1003523809525, 8, 9, 4, 88, 0.375097158937352
14.8691507201285, 7, 35, 0, 5, 0.0184343434343434
14.7574038638369, 5, 8, 4, 92, 0.455244555401909
14.4198139479548, 4, 5, 2, 3, 0.363636363636364
14.127615120275, 6, 36, 2, 2, 0.181818181818182
14.0019278768537, 4, 109, 0, 9, 0.0618686868686869
13.9261111111111, 8, 4, 4, 80, 0.244079764845808
13.5840982519649, 5, 29, 2, 1, 0.0454545454545454
13.3576715533859, 8, 11, 0, 5, 0.0184343434343434
13.0011186244223, 2, 41, 3, 3, 0.800505050505051
12.9642059771111, 8, 15, 4, 93, 0.471038215796977
12.8329345744413, 8, 14, 4, 54, 0.0761223229857679
12.7401139644494, 7, 10, 3, 2, 0.400252525252525
12.6022240296344, 4, 3, 0, 4, 0.0126262626262626
12.410144036231, 7, 3, 0, 4, 0.0126262626262626
12.4054937106918, 5, 36, 4, 61, 0.084023548930301
12.3046266666667, 8, 36, 1, 9, 0.227477477477477
12.1788472377481, 7, 11, 0, 10, 0.0808080808080808
12.1733112883478, 5, 85, 2, 2, 0.181818181818182
12.0164285106023, 7, 75, 0, 6, 0.026010101010101
11.9030427173937, 6, 8, 4, 29, 0.0366148142052202
11.6168106007507, 7, 10, 0, 16, 0.351010101010101
11.6057458443985, 7, 50, 0, 5, 0.0184343434343434
11.438826520844, 8, 15, 0, 5, 0.0184343434343434
11.4084353846702, 7, 20, 4, 59, 0.0828015312645006
11.2005369970709, 5, 199, 3, 3, 0.800505050505051
10.8531345653565, 6, 61, 2, 2, 0.181818181818182
10.666069800212, 8, 6, 4, 51, 0.0718603446010522
10.5312538101982, 4, 3, 0, 13, 0.170454545454545
10.4558048762068, 8, 7, 1, 12, 0.313063063063063
10.4016455530202, 6, 15, 4, 69, 0.110861739138859
10.2371403524048, 8, 22, 4, 54, 0.0761223229857679
10.2211077607637, 9, 21, 4, 47, 0.0673431543170252
10.2211077607637, 9, 21, 4, 47, 0.0673431543170252
10.1696644205066, 8, 14, 3, 2, 0.400252525252525
9.84999746192863, 10, 2, 0, 17, 0.444444444444444
9.84999746192861, 10, 2, 0, 17, 0.444444444444444
9.6706296064236, 8, 5, 4, 73, 0.179360578437554
9.65473987652352, 10, 3, 0, 9, 0.0618686868686869
9.62384758435492, 5, 136, 2, 2, 0.181818181818182
9.61285623527158, 7, 5, 0, 4, 0.0126262626262626
9.56266286078252, 7, 11, 0, 8, 0.0467171717171717
9.50805525487089, 9, 3, 1, 14, 0.353603603603604
9.4135029208033, 7, 76, 0, 5, 0.0184343434343434
9.32598191647553, 6, 27, 0, 10, 0.0808080808080808
9.28964858103809, 5, 5, 0, 5, 0.0184343434343434
9.24991787131312, 9, 6, 0, 10, 0.0808080808080808
9.18389999999999, 9, 4, 0, 6, 0.026010101010101
9.16409602925437, 6, 15, 3, 3, 0.800505050505051
9.10846741173411, 5, 21, 4, 92, 0.455244555401909
9.0091786453309, 9, 13, 0, 3, 0.00795454545454546
8.88426824453099, 8, 26, 4, 88, 0.375097158937352
8.88, 12, 1, 0, 8, 0.0467171717171717
8.88, 12, 1, 0, 8, 0.0467171717171717
8.77392016151299, 6, 102, 3, 3, 0.800505050505051
8.61748708593715, 4, 14, 2, 3, 0.363636363636364
8.59721257680282, 5, 56, 4, 26, 0.0338774705003143
8.30349622852563, 8, 21, 3, 2, 0.400252525252525
8.23973515981712, 7, 36, 0, 11, 0.103535353535354
8.1618620026374, 10, 5, 4, 29, 0.0366148142052202
8.14023346685903, 9, 5, 4, 97, 0.601622068566827
8.12762469563002, 7, 37, 0, 11, 0.103535353535354
8.11474529183348, 5, 97, 4, 83, 0.284343083536879
8.05754523503856, 7, 7, 0, 18, 0.558080808080808
8.04110649360559, 8, 33, 0, 10, 0.0808080808080808
8.03463410879559, 9, 11, 4, 35, 0.0452335812040479
8.01636090498124, 7, 21, 0, 16, 0.351010101010101
7.91639286940875, 7, 5, 0, 16, 0.351010101010101
7.90416666666675, 4, 9, 0, 13, 0.170454545454545
7.901083271084, 7, 26, 3, 2, 0.400252525252525
7.855, 11, 1, 0, 6, 0.026010101010101
7.76347044989173, 9, 7, 4, 63, 0.0888584396739231
7.71727586206906, 6, 9, 0, 10, 0.0808080808080808
7.4594209382935, 10, 7, 0, 8, 0.0467171717171717
7.44672098358785, 4, 6, 0, 13, 0.170454545454545
7.41582165140397, 9, 2, 0, 20, 0.898989898989899
7.30117150417201, 9, 3, 1, 7, 0.184684684684685
7.12767909559289, 8, 42, 0, 10, 0.0808080808080808
6.97890822805086, 7, 8, 4, 6, 0.00648491626136443
6.92409523809523, 5, 9, 0, 5, 0.0184343434343434
6.90252237576448, 4, 10, 0, 4, 0.0126262626262626
6.82333333333332, 8, 1, 0, 18, 0.558080808080808
